Rk,Season,Conf, Overall W, Overall L, OverallW-L%, Conf W, Conf L, Conf W-L%,SRS,SOS,PS/G,PA/G,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1,2025-26,ACC,10,1,0.909,,,,20.73,4.1,80.7,64.1,25,12,,,,Hubert Davis (10-1)
2,2024-25,ACC,23,14,0.622,13,7,0.65,17.27,11.22,80.7,74.7,9,9,,Lost NCAA Tournament First Round,11,Hubert Davis (23-14)
3,2023-24,ACC,29,8,0.784,17,3,0.85,21.36,9.9,81.9,70.5,19,3,7,Lost NCAA Tournament Regional Semifinal,1,Hubert Davis (29-8)
4,2022-23,ACC,20,13,0.606,11,9,0.55,12.94,7.66,76.2,70.9,1,1,,,,Hubert Davis (20-13)
5,2021-22,ACC,29,10,0.744,15,5,0.75,15.5,8.89,77.9,71.3,19,18,,Lost NCAA Tournament National Final,8,Hubert Davis (29-10)
6,2020-21,ACC,18,11,0.621,10,6,0.625,14.79,9.52,75.2,69.9,16,14,,Lost NCAA Tournament First Round,8,Roy Williams (18-11)
7,2019-20,ACC,14,19,0.424,6,14,0.3,9.45,10.05,72.2,72.8,9,5,,,,Roy Williams (14-19)
8,2018-19,ACC,29,7,0.806,16,2,0.889,23.94,11.35,85.8,73.2,8,3,3,Lost NCAA Tournament Regional Semifinal,1,Roy Williams (29-7)
9,2017-18,ACC,26,11,0.703,11,7,0.611,20.07,11.78,81.6,73.3,9,5,10,Lost NCAA Tournament Second Round,2,Roy Williams (26-11)
10,2016-17,ACC,33,7,0.825,14,4,0.778,24.84,11.76,84.4,70.6,6,3,6,Won NCAA Tournament National Final,1,Roy Williams (33-7)
11,2015-16,ACC,33,7,0.825,14,4,0.778,23.44,10.69,82.8,70,1,1,3,Lost NCAA Tournament National Final,1,Roy Williams (33-7)
12,2014-15,ACC,26,12,0.684,11,7,0.611,20.63,11.76,77.7,68.8,6,5,15,Lost NCAA Tournament Regional Semifinal,4,Roy Williams (26-12)
13,2013-14,ACC,24,10,0.706,13,5,0.722,15.24,8.42,76.6,69.8,12,12,19,Lost NCAA Tournament Third Round,6,Roy Williams (24-10)
14,2012-13,ACC,25,11,0.694,12,6,0.667,14.57,8.06,76.7,69.2,11,9,,Lost NCAA Tournament Third Round,8,Roy Williams (25-11)
15,2011-12,ACC,32,6,0.842,14,2,0.875,21.34,7.07,81.3,67.1,1,1,4,Lost NCAA Tournament Regional Final,1,Roy Williams (32-6)
16,2010-11,ACC,29,8,0.784,14,2,0.875,18.87,10.15,77.5,68.8,8,6,7,Lost NCAA Tournament Regional Final,2,Roy Williams (29-8)
17,2009-10,ACC,20,17,0.541,5,11,0.313,10.14,9.83,74.5,71.9,6,6,,,,Roy Williams (20-17)
18,2008-09,ACC,34,4,0.895,13,3,0.813,25.46,8.35,89.8,72,1,1,2,Won NCAA Tournament National Final,1,Roy Williams (34-4)
19,2007-08,ACC,36,3,0.923,14,2,0.875,24.17,8.12,88.6,72.5,1,1,1,Lost NCAA Tournament National Semifinal,1,Roy Williams (36-3)
20,2006-07,ACC,31,7,0.816,11,5,0.688,26.41,9.3,85.7,68.6,2,1,4,Lost NCAA Tournament Regional Final,1,Roy Williams (31-7)
21,2005-06,ACC,23,8,0.742,12,4,0.75,18.48,7.77,79.4,68.6,,10,10,Lost NCAA Tournament Second Round,3,Roy Williams (23-8)
22,2004-05,ACC,33,4,0.892,14,2,0.875,28.42,10.66,88,70.3,4,2,2,Won NCAA Tournament National Final,1,Roy Williams (33-4)
23,2003-04,ACC,19,11,0.633,8,8,0.5,19.4,12.04,82.1,74.8,9,4,18,Lost NCAA Tournament Second Round,6,Roy Williams (19-11)
24,2002-03,ACC,19,16,0.543,6,10,0.375,11.22,10.31,72.1,71.2,,12,,,,Matt Doherty (19-16)
25,2001-02,ACC,8,20,0.286,4,12,0.25,3.86,10.5,72.2,78.9,19,19,,,,Matt Doherty (8-20)
26,2000-01,ACC,26,7,0.788,13,3,0.813,19.95,11.77,79.1,70.9,6,1,6,Lost NCAA Tournament Second Round,2,Matt Doherty (26-7)
27,1999-00,ACC,22,14,0.611,9,7,0.563,17,11.8,75.4,70.2,6,2,,Lost NCAA Tournament National Semifinal,8,Bill Guthridge (22-14)
28,1998-99,ACC,24,10,0.706,10,6,0.625,16.77,10.24,71.4,64.9,11,3,13,Lost NCAA Tournament First Round,3,Bill Guthridge (24-10)
29,1997-98,ACC,34,4,0.895,13,3,0.813,26.67,10.38,81.9,65.6,4,1,1,Lost NCAA Tournament National Semifinal,1,Bill Guthridge (34-4)
30,1996-97,ACC,28,7,0.8,11,5,0.688,21.23,12,77.4,66.7,8,4,4,Lost NCAA Tournament National Semifinal,1,Dean Smith (28-7)
31,1995-96,ACC,21,11,0.656,10,6,0.625,18.02,11.42,77.6,71,20,8,25,Lost NCAA Tournament Second Round,6,Dean Smith (21-11)
32,1994-95,ACC,28,6,0.824,12,4,0.75,23.58,13.14,84.4,74,2,1,4,Lost NCAA Tournament National Semifinal,2,Dean Smith (28-6)
33,1993-94,ACC,28,7,0.8,11,5,0.688,22.62,9.39,85.6,72.4,1,1,1,Lost NCAA Tournament Second Round,1,Dean Smith (28-7)
34,1992-93,ACC,34,4,0.895,14,2,0.875,29.04,11.25,86.1,68.3,7,1,4,Won NCAA Tournament National Final,1,Dean Smith (34-4)
35,1991-92,ACC,23,10,0.697,9,7,0.563,18.04,10.16,83.5,75.6,8,4,18,Lost NCAA Tournament Regional Semifinal,4,Dean Smith (23-10)
36,1990-91,ACC,29,6,0.829,10,4,0.714,26.9,10.9,87.6,71.6,5,4,4,Lost NCAA Tournament National Semifinal,1,Dean Smith (29-6)
37,1989-90,ACC,21,13,0.618,8,6,0.571,15.62,10.97,82.6,77.9,7,7,,Lost NCAA Tournament Regional Semifinal,8,Dean Smith (21-13)
38,1988-89,ACC,29,8,0.784,9,5,0.643,22.73,12.41,90,79.7,6,3,5,Lost NCAA Tournament Regional Semifinal,2,Dean Smith (29-8)
39,1987-88,ACC,27,7,0.794,11,3,0.786,19.52,10.72,82.1,73.2,3,1,7,Lost NCAA Tournament Regional Final,2,Dean Smith (27-7)
40,1986-87,ACC,32,4,0.889,14,0,1,24.48,8.71,91.3,74.9,1,1,2,Lost NCAA Tournament Regional Final,1,Dean Smith (32-4)
41,1985-86,ACC,28,6,0.824,10,4,0.714,26.13,8.51,86.6,69,2,1,8,Lost NCAA Tournament Regional Semifinal,3,Dean Smith (28-6)
42,1984-85,ACC,27,9,0.75,9,5,0.643,15.33,8.13,73.5,66,,5,7,Lost NCAA Tournament Regional Final,2,Dean Smith (27-9)
43,1983-84,ACC,28,3,0.903,14,0,1,23.86,8.6,80.1,64.8,1,1,1,Lost NCAA Tournament Regional Semifinal,1,Dean Smith (28-3)
44,1982-83,ACC,28,8,0.778,12,2,0.857,20.14,7.7,80.7,68.6,3,1,8,Lost NCAA Tournament Regional Final,2,Dean Smith (28-8)
45,1981-82,ACC,32,2,0.941,12,2,0.857,20.17,8.87,66.7,55.4,1,1,1,Won NCAA Tournament National Final,1,Dean Smith (32-2)
46,1980-81,ACC,29,8,0.784,10,4,0.714,18.3,10.05,71.9,63.4,13,6,6,Lost NCAA Tournament National Final,2,Dean Smith (29-8)
47,1979-80,ACC,21,8,0.724,9,5,0.643,12.79,7.17,73.2,68,6,6,15,Lost NCAA Tournament Second Round,3,Dean Smith (21-8)
48,1978-79,ACC,23,6,0.793,9,3,0.75,18.54,7.51,76.5,65.4,16,2,9,Lost NCAA Tournament Second Round,1,Dean Smith (23-6)
49,1977-78,ACC,23,8,0.742,9,3,0.75,16.25,7.48,81.1,70.7,1,1,16,Lost NCAA Tournament First Round,,Dean Smith (23-8)
50,1976-77,ACC,28,5,0.848,9,3,0.75,20.78,9.51,83.6,72.6,3,3,5,Lost NCAA Tournament National Final,,Dean Smith (28-5)
51,1975-76,ACC,25,4,0.862,11,1,0.917,18.17,7.17,85.1,74.3,5,3,8,Lost NCAA Tournament First Round,,Dean Smith (25-4)
52,1974-75,ACC,23,8,0.742,8,4,0.667,13.96,7.99,84.6,78,11,6,9,Lost NCAA Tournament Regional Semifinal,,Dean Smith (23-8)
53,1973-74,ACC,22,6,0.786,9,3,0.75,18.42,7.87,87,75.3,5,4,12,,,Dean Smith (22-6)
54,1972-73,ACC,25,8,0.758,8,4,0.667,17.71,6.83,84.7,72.8,,3,11,,,Dean Smith (25-8)
55,1971-72,ACC,26,5,0.839,9,3,0.75,23.49,5.78,89.1,71.4,2,2,2,Lost NCAA Tournament National Semifinal,,Dean Smith (26-5)
56,1970-71,ACC,26,6,0.813,11,3,0.786,17.42,4.57,84.6,71.8,,8,13,,,Dean Smith (26-6)
57,1969-70,ACC,18,9,0.667,9,5,0.643,10.91,4.59,88.9,78.8,7,4,,,,Dean Smith (18-9)
58,1968-69,ACC,27,5,0.844,12,2,0.857,18.39,5.17,88.9,75.7,2,2,4,Lost NCAA Tournament National Semifinal,,Dean Smith (27-5)
59,1967-68,ACC,28,4,0.875,12,2,0.857,15.73,4.36,83.8,72.4,4,3,4,Lost NCAA Tournament National Final,,Dean Smith (28-4)
60,1966-67,ACC,26,6,0.813,12,2,0.857,14.72,3.69,82.2,,9,2,4,Lost NCAA Tournament National Semifinal,,Dean Smith (26-6)
61,1965-66,ACC,16,11,0.593,8,6,0.571,12.39,5.72,80.9,74.3,,,,,,Dean Smith (16-11)
62,1964-65,ACC,15,9,0.625,10,4,0.714,5.41,3.28,79.8,77.6,13,13,,,,Dean Smith (15-9)
63,1963-64,ACC,12,12,0.5,6,8,0.429,2.8,2.71,77.5,77.5,,,,,,Dean Smith (12-12)
64,1962-63,ACC,15,6,0.714,10,4,0.714,6.83,1.07,76.6,70.8,,10,,,,Dean Smith (15-6)
65,1961-62,ACC,8,9,0.471,7,7,0.5,2.93,3.46,72.4,72.6,,,,,,Dean Smith (8-9)
66,1960-61,ACC,19,4,0.826,12,2,0.857,11.82,0.82,76.7,65.7,,4,5,,,Frank McGuire (19-4)
67,1959-60,ACC,18,6,0.75,12,2,0.857,14.04,3.21,73.1,62.3,,12,,,,Frank McGuire (18-6)
68,1958-59,ACC,20,5,0.8,12,2,0.857,9.25,2.53,71.9,65.2,,1,9,Lost NCAA Tournament First Round,,Frank McGuire (20-5)
69,1957-58,ACC,19,7,0.731,10,4,0.714,8.75,1.87,71.8,64.9,,1,13,,,Frank McGuire (19-7)
70,1956-57,ACC,32,0,1,14,0,1,14.7,1.12,79.3,65.6,,1,1,Won NCAA Tournament National Final,,Frank McGuire (32-0)
71,1955-56,ACC,18,5,0.783,11,3,0.786,12.35,3.39,80,71,,4,13,,,Frank McGuire (18-5)
72,1954-55,ACC,10,11,0.476,8,6,0.571,2.22,2.65,75.8,76.1,,,,,,Frank McGuire (10-11)
73,1953-54,ACC,11,10,0.524,5,6,0.455,-3.11,-8.06,68.5,63.6,,,,,,Frank McGuire (11-10)
74,1952-53,Southern,17,10,0.63,15,6,0.714,-0.73,-5.31,,,,12,,,,Frank McGuire (17-10)
75,1951-52,Southern,12,15,0.444,8,11,0.421,-7.12,-4.66,,,,,,,,Tom Scott (12-15)
76,1950-51,Southern,12,15,0.444,9,8,0.529,-11.33,-8.94,,,,,,,,Tom Scott (12-15)
77,1949-50,Southern,17,12,0.586,13,6,0.684,-6.26,-8.1,57,,,,,,,Tom Scott (17-12)
78,1948-49,Southern,20,8,0.714,13,5,0.722,,,57.3,52.9,,,,,,Tom Scott (20-8)
79,1947-48,Southern,20,7,0.741,11,4,0.733,,,53.8,46,,,,,,Tom Scott (20-7)
80,1946-47,Southern,19,8,0.704,10,2,0.833,,,,,,,,,,Tom Scott (19-8)
81,1945-46,Southern,30,5,0.857,13,1,0.929,,,,,,,,Lost NCAA Tournament National Final,,Ben Carnevale (30-5)
82,1944-45,Southern,22,6,0.786,11,3,0.786,,,,,,,,,,Ben Carnevale (22-6)
83,1943-44,Southern,17,10,0.63,9,1,0.9,,,,,,,,,,Bill Lange (17-10)
84,1942-43,Southern,12,10,0.545,8,9,0.471,,,,,,,,,,Bill Lange (12-10)
85,1941-42,Southern,14,9,0.609,9,5,0.643,,,,,,,,,,Bill Lange (14-9)
86,1940-41,Southern,19,9,0.679,14,1,0.933,,,,,,,,Lost NCAA Tournament Regional Semifinal,,Bill Lange (19-9)
87,1939-40,Southern,23,3,0.885,11,2,0.846,,,,,,,,,,Bill Lange (23-3)
88,1938-39,Southern,10,11,0.476,8,7,0.533,,,,,,,,,,Walter Skidmore (10-11)
89,1937-38,Southern,16,5,0.762,13,3,0.813,,,,,,,,,,Walter Skidmore (16-5)
90,1936-37,Southern,18,5,0.783,14,3,0.824,,,,,,,,,,Walter Skidmore (18-5)
91,1935-36,Southern,21,4,0.84,13,3,0.813,,,,,,,,,,Walter Skidmore (21-4)
92,1934-35,Southern,23,2,0.92,12,1,0.923,,,,,,,,,,Bo Shepard (23-2)
93,1933-34,Southern,18,4,0.818,12,2,0.857,,,,,,,,,,Bo Shepard (18-4)
94,1932-33,Southern,12,5,0.706,5,3,0.625,,,,,,,,,,Bo Shepard (12-5)
95,1931-32,Southern,16,5,0.762,6,3,0.667,,,,,,,,,,Bo Shepard (16-5)
96,1930-31,Southern,15,9,0.625,6,6,0.5,,,,,,,,,,Jimmy Ashmore (15-9)
97,1929-30,Southern,14,11,0.56,4,7,0.364,,,,,,,,,,Jimmy Ashmore (14-11)
98,1928-29,Southern,17,8,0.68,12,2,0.857,,,,,,,,,,Jimmy Ashmore (17-8)
99,1927-28,Southern,17,2,0.895,8,1,0.889,,,,,,,,,,Jimmy Ashmore (17-2)
100,1926-27,Southern,17,7,0.708,7,3,0.7,,,,,,,,,,Jimmy Ashmore (17-7)
101,1925-26,Southern,20,5,0.8,6,2,0.75,,,,,,,,,,Harlan Sanborn (20-5)
102,1924-25,Southern,20,5,0.8,6,2,0.75,,,,,,,,,,Monk McDonald (20-5)
103,1923-24,Southern,26,0,1,7,0,1,,,,,,,,,,Norman Shepard (26-0)
104,1922-23,Southern,15,1,0.938,5,0,1,,,,,,,,,,Fred Boye (15-1)
105,1921-22,Southern,15,6,0.714,3,3,0.5,,,,,,,,,,Fred Boye (15-6)
106,1920-21,Ind,12,8,0.6,,,,,,,,,,,,,Fred Boye (12-8)
107,1919-20,Ind,8,9,0.471,,,,,,,,,,,,,Fred Boye (8-9)
108,1918-19,Ind,9,7,0.563,,,,,,,,,,,,,Howell Peacock (9-7)
109,1917-18,Ind,9,3,0.75,,,,,,,,,,,,,Howell Peacock (9-3)
110,1916-17,Ind,5,4,0.556,,,,,,,,,,,,,Howell Peacock (5-4)
111,1915-16,Ind,12,6,0.667,,,,,,,,,,,,,Chick Doak (12-6)
112,1914-15,Ind,6,10,0.375,,,,,,,,,,,,,Chick Doak (6-10)
113,1913-14,Ind,10,8,0.556,,,,,,,,,,,,,Nat Cartmell (10-8)
114,1912-13,Ind,4,7,0.364,,,,,,,,,,,,,Nat Cartmell (4-7)
115,1911-12,Ind,4,5,0.444,,,,,,,,,,,,,Nat Cartmell (4-5)
116,1910-11,Ind,7,4,0.636,,,,,,,,,,,,,Nat Cartmell (7-4)
