Rk,Season,Conf,Overall W,Overall L,Overall W-L%,Conf W,Conf L,Conf W-L%,SRS,SOS,PS/G,PA/G,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1,2025-26,ACC,13,1,.929,1,0,1.000,21.07,3.57,81.2,63.7,25,12,,,,Hubert Davis (13-1)
2,2024-25,ACC,23,14,.622,13,7,.650,17.27,11.22,80.7,74.7,9,9,,Lost NCAA Tournament First Round,11,Hubert Davis (23-14)
3,2023-24,ACC,29,8,.784,17,3,.850,21.36,9.90,81.9,70.5,19,3,7,Lost NCAA Tournament Regional Semifinal,1,Hubert Davis (29-8)
4,2022-23,ACC,20,13,.606,11,9,.550,12.94,7.66,76.2,70.9,1,1,,,,Hubert Davis (20-13)
5,2021-22,ACC,29,10,.744,15,5,.750,15.50,8.89,77.9,71.3,19,18,,Lost NCAA Tournament National Final,8,Hubert Davis (29-10)
6,2020-21,ACC,18,11,.621,10,6,.625,14.79,9.52,75.2,69.9,16,14,,Lost NCAA Tournament First Round,8,Roy Williams (18-11)
7,2019-20,ACC,14,19,.424,6,14,.300,9.45,10.05,72.2,72.8,9,5,,,,Roy Williams (14-19)
8,2018-19,ACC,29,7,.806,16,2,.889,23.94,11.35,85.8,73.2,8,3,3,Lost NCAA Tournament Regional Semifinal,1,Roy Williams (29-7)
9,2017-18,ACC,26,11,.703,11,7,.611,20.07,11.78,81.6,73.3,9,5,10,Lost NCAA Tournament Second Round,2,Roy Williams (26-11)
10,2016-17,ACC,33,7,.825,14,4,.778,24.84,11.76,84.4,70.6,6,3,6,Won NCAA Tournament National Final,1,Roy Williams (33-7)
11,2015-16,ACC,33,7,.825,14,4,.778,23.44,10.69,82.8,70.0,1,1,3,Lost NCAA Tournament National Final,1,Roy Williams (33-7)
12,2014-15,ACC,26,12,.684,11,7,.611,20.63,11.76,77.7,68.8,6,5,15,Lost NCAA Tournament Regional Semifinal,4,Roy Williams (26-12)
13,2013-14,ACC,24,10,.706,13,5,.722,15.24,8.42,76.6,69.8,12,12,19,Lost NCAA Tournament Third Round,6,Roy Williams (24-10)
14,2012-13,ACC,25,11,.694,12,6,.667,14.57,8.06,76.7,69.2,11,9,,Lost NCAA Tournament Third Round,8,Roy Williams (25-11)
15,2011-12,ACC,32,6,.842,14,2,.875,21.34,7.07,81.3,67.1,1,1,4,Lost NCAA Tournament Regional Final,1,Roy Williams (32-6)
16,2010-11,ACC,29,8,.784,14,2,.875,18.87,10.15,77.5,68.8,8,6,7,Lost NCAA Tournament Regional Final,2,Roy Williams (29-8)
17,2009-10,ACC,20,17,.541,5,11,.313,10.14,9.83,74.5,71.9,6,6,,,,Roy Williams (20-17)
18,2008-09,ACC,34,4,.895,13,3,.813,25.46,8.35,89.8,72.0,1,1,2,Won NCAA Tournament National Final,1,Roy Williams (34-4)
19,2007-08,ACC,36,3,.923,14,2,.875,24.17,8.12,88.6,72.5,1,1,1,Lost NCAA Tournament National Semifinal,1,Roy Williams (36-3)